label,message
ham',"Hey there, how are you doing today?'"
spam',Congratulations! You've won a free vacation.'
ham',Can you send me the report by tomorrow morning?'
spam',URGENT: Your account needs immediate attention.'
ham',What time are we meeting tomorrow?'
spam',Get a 50% discount on all products this weekend!'
ham',I'm looking forward to our meeting.'
spam',You've been selected for a special offer.'
ham,hey bruh wassup
ham,op
ham,byec:\Users\monis\OneDrive\Desktop\batch-5\Book2.csv
ham,roshan
ham,monish
ham,raizu
ham,hello bruh
ham,ai chat bot is the project
ham,ai chat bot project done
ham,welcome
ham,whatsup
ham,monishkumar
ham,"""C:\Users\monis\OneDrive\Desktop\batch-11\Book2.csv"""
spam,he is thief
ham,now you won
